IntervalStartTime,Usage,Demand,Date,obs_hour,interval,air_temp,dew_pt,rpt_type
12:00:00 AM,3.786,15.144,2016-02-01,0,0,0.28,-2.80,FM-12
12:15:00 AM,3.66,14.64,2016-02-01,,,0.26,-2.85,
12:30:00 AM,3.654,14.616,2016-02-01,,,0.24,-2.89,
12:45:00 AM,3.888,15.552,2016-02-01,,,0.22,-2.94,
1:00:00 AM,3.558,14.232,2016-02-01,,,0.20,-2.98,
1:15:00 AM,4.44,17.76,2016-02-01,,,0.18,-3.03,
1:30:00 AM,3.834,15.336,2016-02-01,,,0.16,-3.08,
1:45:00 AM,3.798,15.192,2016-02-01,,,0.14,-3.12,
2:00:00 AM,3.594,14.376,2016-02-01,,,0.12,-3.17,
2:15:00 AM,3.888,15.552,2016-02-01,,,0.10,-3.21,
2:30:00 AM,3.792,15.168,2016-02-01,,,0.08,-3.26,
2:45:00 AM,3.75,15,2016-02-01,,,0.06,-3.30,
3:00:00 AM,3.558,14.232,2016-02-01,,,0.04,-3.35,
3:15:00 AM,3.864,15.456,2016-02-01,,,0.02,-3.40,
3:30:00 AM,3.75,15,2016-02-01,,,0.00,-3.44,
3:45:00 AM,3.666,14.664,2016-02-01,,,-0.02,-3.49,
4:00:00 AM,3.612,14.448,2016-02-01,,,-0.04,-3.53,
4:15:00 AM,3.816,15.264,2016-02-01,,,-0.06,-3.58,
4:30:00 AM,3.804,15.216,2016-02-01,,,-0.08,-3.63,
4:45:00 AM,3.738,14.952,2016-02-01,,,-0.10,-3.67,
2/1/16 5:00 AM,3.732,14.928,2016-02-01,,,-0.12,-3.72,
2/1/16 5:15 AM,3.798,15.192,2016-02-01,,,-0.14,-3.76,
2/1/16 5:30 AM,3.768,15.072,2016-02-01,,,-0.16,-3.81,
2/1/16 5:45 AM,3.696,14.784,2016-02-01,,,-0.18,-3.85,
2/1/16 6:00 AM,3.834,15.336,2016-02-01,6,0,-0.22,-3.90,FM-12
2/1/16 6:15 AM,5.22,20.88,2016-02-01,,,-0.23,-3.97,
2/1/16 6:30 AM,5.034,20.136,2016-02-01,,,-0.23,-4.04,
2/1/16 6:45 AM,4.206,16.824,2016-02-01,,,-0.24,-4.11,
2/1/16 7:00 AM,4.608,18.432,2016-02-01,,,-0.25,-4.18,
2/1/16 7:15 AM,5.07,20.28,2016-02-01,,,-0.25,-4.25,
2/1/16 7:30 AM,4.158,16.632,2016-02-01,,,-0.26,-4.33,
2/1/16 7:45 AM,3.996,15.984,2016-02-01,,,-0.27,-4.40,
