"","obs_year","obs_month","obs_day","obs_hour","obs_min","rpt_type","wind_angle","wind_speed","air_temp","dew_pt","sea_level_press","obs_date","week"
"1",2016,1,1,0,0,"FM-12",250,4.1,-8.3,-12.2,1023.3,2016-01-01,1
"2",2016,1,1,0,32,"FM-16",240,5.1,-8.3,-12.2,9999.9,2016-01-01,1
"3",2016,1,1,0,53,"FM-15",240,4.1,-8.3,-11.7,1023.3,2016-01-01,1
"4",2016,1,1,1,53,"FM-15",240,3.1,-7.8,-11.1,1022.9,2016-01-01,1
"5",2016,1,1,2,53,"FM-15",250,4.1,-7.8,-11.1,1022.7,2016-01-01,1
"6",2016,1,1,3,53,"FM-15",270,4.1,-7.2,-10.6,1022.8,2016-01-01,1
"7",2016,1,1,4,53,"FM-15",270,5.1,-7.2,-10.6,1022.8,2016-01-01,1
"8",2016,1,1,5,53,"FM-15",280,5.7,-7.2,-10.6,1022.9,2016-01-01,1
"11",2016,1,1,6,0,"FM-12",280,5.7,-7.2,-10.6,1022.9,2016-01-01,1
"12",2016,1,1,6,51,"FM-16",270,3.6,-7,-10,9999.9,2016-01-01,1
"13",2016,1,1,6,53,"FM-15",280,4.1,-6.7,-10,1022.5,2016-01-01,1
"14",2016,1,1,7,51,"FM-16",250,2.6,-7,-9,9999.9,2016-01-01,1
"15",2016,1,1,7,53,"FM-15",260,2.6,-6.7,-9.4,1022.1,2016-01-01,1
"16",2016,1,1,8,51,"FM-16",260,5.1,-7,-9,9999.9,2016-01-01,1
"17",2016,1,1,8,53,"FM-15",250,3.6,-6.7,-9.4,1022,2016-01-01,1
"18",2016,1,1,9,53,"FM-15",270,6.7,-8.3,-11.7,1021.9,2016-01-01,1
"19",2016,1,1,10,53,"FM-15",250,3.6,-8.3,-11.7,1021.3,2016-01-01,1
"20",2016,1,1,11,40,"FM-16",220,4.1,-8.9,-12.2,9999.9,2016-01-01,1
"21",2016,1,1,11,53,"FM-15",220,5.1,-8.9,-12.2,1020.3,2016-01-01,1
"22",2016,1,1,12,0,"FM-12",220,5.1,-8.9,-12.2,1020.3,2016-01-01,1
"23",2016,1,1,12,53,"FM-15",220,3.6,-9.4,-11.7,1019.5,2016-01-01,1
"24",2016,1,1,13,53,"FM-15",220,2.1,-8.9,-11.7,1019.4,2016-01-01,1
"25",2016,1,1,14,53,"FM-15",230,3.6,-8.3,-11.1,1018.9,2016-01-01,1
"26",2016,1,1,15,53,"FM-15",230,6.2,-6.7,-10.6,1017.9,2016-01-01,1
"27",2016,1,1,16,53,"FM-15",240,6.2,-5.6,-10,1017.4,2016-01-01,1
"28",2016,1,1,17,53,"FM-15",250,5.1,-2.8,-8.9,1017.1,2016-01-01,1
"29",2016,1,1,18,0,"FM-12",250,5.1,-2.8,-8.9,1017.1,2016-01-01,1
"30",2016,1,1,18,53,"FM-15",270,5.7,-1.7,-8.3,1016,2016-01-01,1
"31",2016,1,1,19,53,"FM-15",290,7.7,-1.1,-7.8,1015.8,2016-01-01,1
"32",2016,1,1,20,53,"FM-15",280,5.7,-1.1,-7.8,1016.4,2016-01-01,1
"33",2016,1,1,21,53,"FM-15",300,7.2,-1.7,-8.3,1017.7,2016-01-01,1
"34",2016,1,1,22,53,"FM-15",290,4.6,-2.8,-8.3,1018.3,2016-01-01,1
"35",2016,1,1,23,53,"FM-15",270,4.1,-3.3,-8.3,1019.2,2016-01-01,1
"36",2016,1,2,0,0,"FM-12",270,4.1,-3.3,-8.3,1019.2,2016-01-02,1
"37",2016,1,2,0,53,"FM-15",270,5.1,-3.9,-8.3,1019.9,2016-01-02,1
"38",2016,1,2,1,53,"FM-15",270,5.1,-5,-8.9,1020.4,2016-01-02,1
"39",2016,1,2,2,53,"FM-15",270,4.6,-5.6,-9.4,1020.4,2016-01-02,1
"40",2016,1,2,3,53,"FM-15",270,3.6,-6.1,-9.4,1020.9,2016-01-02,1
"41",2016,1,2,4,53,"FM-15",270,2.6,-7.2,-10,1020.9,2016-01-02,1
"42",2016,1,2,5,53,"FM-15",230,1.5,-7.2,-10,1020.9,2016-01-02,1
"44",2016,1,2,6,0,"FM-12",230,1.5,-7.2,-10,1020.9,2016-01-02,1
"45",2016,1,2,6,53,"FM-15",200,2.1,-7.8,-10.6,1020.9,2016-01-02,1
"46",2016,1,2,7,53,"FM-15",220,2.6,-8.9,-11.1,1020.4,2016-01-02,1
"47",2016,1,2,8,53,"FM-15",200,2.6,-8.9,-11.1,1020.7,2016-01-02,1
"48",2016,1,2,9,53,"FM-15",210,2.1,-9.4,-11.1,1020.4,2016-01-02,1
"49",2016,1,2,10,53,"FM-15",220,3.1,-9.4,-11.7,1019.5,2016-01-02,1
"50",2016,1,2,11,53,"FM-15",230,3.1,-10,-11.7,1019.5,2016-01-02,1
"51",2016,1,2,12,0,"FM-12",230,3.1,-10,-11.7,1019.5,2016-01-02,1
"52",2016,1,2,12,53,"FM-15",220,4.1,-8.9,-11.7,1018.4,2016-01-02,1
"53",2016,1,2,13,53,"FM-15",240,2.6,-8.9,-11.1,1017.8,2016-01-02,1
"54",2016,1,2,14,53,"FM-15",240,3.6,-8.3,-11.1,1017.9,2016-01-02,1
"55",2016,1,2,15,53,"FM-15",250,4.1,-6.7,-11.1,1017.2,2016-01-02,1
"56",2016,1,2,16,53,"FM-15",250,4.1,-5.6,-10.6,1016.7,2016-01-02,1
"57",2016,1,2,17,53,"FM-15",250,4.6,-2.8,-9.4,1015.5,2016-01-02,1
"58",2016,1,2,18,0,"FM-12",250,4.6,-2.8,-9.4,1015.5,2016-01-02,1
"59",2016,1,2,18,53,"FM-15",280,6.7,-1.7,-8.9,1015.1,2016-01-02,1
"60",2016,1,2,19,53,"FM-15",270,5.1,-1.1,-8.3,1014.7,2016-01-02,1
"61",2016,1,2,20,53,"FM-15",280,4.6,-0.6,-8.3,1014.5,2016-01-02,1
"62",2016,1,2,21,53,"FM-15",280,4.6,-0.6,-8.3,1015.2,2016-01-02,1
"63",2016,1,2,22,53,"FM-15",270,6.2,-2.2,-8.3,1015.7,2016-01-02,1
"64",2016,1,2,23,53,"FM-15",280,4.6,-2.8,-8.3,1016.2,2016-01-02,1
"65",2016,1,3,0,0,"FM-12",280,4.6,-2.8,-8.3,1016.2,2016-01-03,1
"66",2016,1,3,0,53,"FM-15",290,4.6,-3.3,-8.9,1016.4,2016-01-03,1
"67",2016,1,3,1,53,"FM-15",290,4.6,-4.4,-8.9,1017.5,2016-01-03,1
"68",2016,1,3,2,53,"FM-15",300,7.2,-3.3,-8.3,1017.9,2016-01-03,1
"69",2016,1,3,3,53,"FM-15",310,7.2,-3.9,-8.3,1018.7,2016-01-03,1
"70",2016,1,3,4,51,"FM-16",320,7.2,-4,-8,9999.9,2016-01-03,1
"71",2016,1,3,4,53,"FM-15",310,6.7,-4.4,-8.3,1019.4,2016-01-03,1
"72",2016,1,3,5,53,"FM-15",320,6.2,-3.9,-7.8,1019.9,2016-01-03,1
"74",2016,1,3,6,0,"FM-12",320,6.2,-3.9,-7.8,1019.9,2016-01-03,1
"75",2016,1,3,6,53,"FM-15",330,7.7,-3.3,-7.2,1020.1,2016-01-03,1
"76",2016,1,3,7,53,"FM-15",330,6.2,-2.8,-7.2,1020.9,2016-01-03,1
"77",2016,1,3,8,53,"FM-15",330,5.1,-2.8,-6.7,1022,2016-01-03,1
"78",2016,1,3,9,53,"FM-15",320,6.7,-2.8,-6.7,1022.7,2016-01-03,1
"79",2016,1,3,10,53,"FM-15",330,6.2,-3.3,-6.7,1023.2,2016-01-03,1
"80",2016,1,3,11,53,"FM-15",340,5.1,-2.8,-7.2,1023.9,2016-01-03,1
"81",2016,1,3,12,0,"FM-12",340,5.1,-2.8,-7.2,1023.9,2016-01-03,1
"82",2016,1,3,12,53,"FM-15",340,5.7,-2.8,-6.7,1024.8,2016-01-03,1
"83",2016,1,3,13,53,"FM-15",330,4.6,-2.8,-7.2,1025.5,2016-01-03,1
"84",2016,1,3,14,53,"FM-15",340,3.6,-2.8,-6.7,1026.4,2016-01-03,1
"85",2016,1,3,15,53,"FM-15",350,6.7,-2.8,-7.8,1027.2,2016-01-03,1
"86",2016,1,3,16,53,"FM-15",320,6.2,-2.2,-7.2,1027.8,2016-01-03,1
"87",2016,1,3,17,53,"FM-15",330,4.6,-2.2,-7.8,1027.4,2016-01-03,1
"88",2016,1,3,18,0,"FM-12",330,4.6,-2.2,-7.8,1027.4,2016-01-03,1
"89",2016,1,3,18,53,"FM-15",310,3.6,-2.2,-7.8,1027.1,2016-01-03,1
"90",2016,1,3,19,53,"FM-15",330,4.1,-2.8,-7.8,1027.3,2016-01-03,1
"91",2016,1,3,20,53,"FM-15",300,3.6,-2.8,-7.8,1027.5,2016-01-03,1
"92",2016,1,3,21,53,"FM-15",280,3.6,-2.2,-7.2,1027.8,2016-01-03,1
"93",2016,1,3,22,53,"FM-15",290,3.6,-2.2,-7.2,1028.2,2016-01-03,1
"94",2016,1,3,22,59,"FM-16",290,3.1,-2.8,-7.8,9999.9,2016-01-03,1
"95",2016,1,3,23,53,"FM-15",260,2.6,-2.8,-7.8,1028.5,2016-01-03,1
"96",2016,1,4,0,0,"FM-12",260,2.6,-2.8,-7.8,1028.5,2016-01-04,1
"97",2016,1,4,0,53,"FM-15",270,4.1,-3.9,-7.8,1028.8,2016-01-04,1
"98",2016,1,4,1,53,"FM-15",290,3.6,-5,-7.8,1029.2,2016-01-04,1
"99",2016,1,4,2,53,"FM-15",310,4.6,-5,-7.8,1029.4,2016-01-04,1
"100",2016,1,4,3,53,"FM-15",290,4.1,-6.1,-8.9,1029.7,2016-01-04,1
"101",2016,1,4,4,53,"FM-15",310,3.6,-6.1,-8.9,1030.1,2016-01-04,1
"102",2016,1,4,5,53,"FM-15",320,4.1,-6.7,-9.4,1030.4,2016-01-04,1
"104",2016,1,4,6,0,"FM-12",320,4.1,-6.7,-9.4,1030.4,2016-01-04,1
"105",2016,1,4,6,53,"FM-15",310,3.6,-7.2,-9.4,1030.7,2016-01-04,1
"106",2016,1,4,7,53,"FM-15",290,2.1,-7.8,-10,1031.3,2016-01-04,1
"107",2016,1,4,8,53,"FM-15",220,2.1,-7.8,-10,1031.9,2016-01-04,1
"108",2016,1,4,9,53,"FM-15",999,0,-8.9,-10.6,1032.3,2016-01-04,1
"109",2016,1,4,10,53,"FM-15",220,2.1,-10,-11.7,1032.7,2016-01-04,1
"110",2016,1,4,11,53,"FM-15",999,0,-11.1,-12.8,1032.9,2016-01-04,1
"111",2016,1,4,12,0,"FM-12",999,0,-11.1,-12.8,1032.9,2016-01-04,1
"112",2016,1,4,12,53,"FM-15",190,1.5,-11.1,-12.8,1033.1,2016-01-04,1
"113",2016,1,4,13,53,"FM-15",240,1.5,-11.7,-13.3,1033.6,2016-01-04,1
"114",2016,1,4,14,53,"FM-15",999,0,-12.2,-13.9,1034,2016-01-04,1
"115",2016,1,4,15,53,"FM-15",170,2.1,-10.6,-11.7,1034.5,2016-01-04,1
"116",2016,1,4,16,53,"FM-15",999,1.5,-8.9,-11.1,1034.8,2016-01-04,1
"117",2016,1,4,17,53,"FM-15",999,2.1,-6.7,-9.4,1034.1,2016-01-04,1
"118",2016,1,4,18,0,"FM-12",999,2.1,-6.7,-9.4,1034.1,2016-01-04,1
"119",2016,1,4,18,53,"FM-15",160,2.6,-5,-8.9,1033.1,2016-01-04,1
"120",2016,1,4,19,53,"FM-15",170,3.6,-3.3,-8.3,1032.5,2016-01-04,1
"121",2016,1,4,20,53,"FM-15",150,5.1,-3.9,-8.9,1032.5,2016-01-04,1
"122",2016,1,4,21,53,"FM-15",150,4.6,-5,-8.9,1032.6,2016-01-04,1
"123",2016,1,4,22,53,"FM-15",140,4.1,-6.7,-10,1032.6,2016-01-04,1
"124",2016,1,4,23,28,"FM-16",160,5.1,-7.2,-10,9999.9,2016-01-04,1
"125",2016,1,4,23,53,"FM-15",999,3.1,-7.2,-9.4,1032.3,2016-01-04,1
"126",2016,1,5,0,0,"FM-12",999,3.1,-7.2,-9.4,1032.3,2016-01-05,1
"127",2016,1,5,0,53,"FM-15",160,6.2,-7.2,-8.9,1031.6,2016-01-05,1
"128",2016,1,5,1,53,"FM-15",160,5.7,-7.2,-8.9,1031.1,2016-01-05,1
"129",2016,1,5,2,53,"FM-15",170,6.2,-7.2,-8.3,1030.7,2016-01-05,1
"130",2016,1,5,3,53,"FM-15",170,7.2,-6.7,-8.3,1030,2016-01-05,1
"131",2016,1,5,4,25,"FM-16",170,5.1,-6.7,-8.3,9999.9,2016-01-05,1
"132",2016,1,5,4,53,"FM-15",170,5.7,-6.7,-8.3,1029.3,2016-01-05,1
"133",2016,1,5,5,53,"FM-15",180,7.7,-6.7,-8.9,1028.7,2016-01-05,1
"135",2016,1,5,6,0,"FM-12",180,7.7,-6.7,-8.9,1028.7,2016-01-05,1
"136",2016,1,5,6,0,"FM-16",180,6.7,-6.7,-8.9,9999.9,2016-01-05,1
"137",2016,1,5,6,53,"FM-15",170,5.1,-6.7,-8.9,1028.1,2016-01-05,1
"138",2016,1,5,7,53,"FM-15",200,6.2,-6.7,-9.4,1028,2016-01-05,1
"139",2016,1,5,8,53,"FM-15",180,6.2,-5.6,-8.3,1028,2016-01-05,1
"140",2016,1,5,9,18,"FM-16",190,4.6,-5,-8.3,9999.9,2016-01-05,1
"141",2016,1,5,9,53,"FM-15",180,4.6,-5,-7.8,1027.4,2016-01-05,1
"142",2016,1,5,10,53,"FM-15",180,5.1,-4.4,-7.2,1026.9,2016-01-05,1
"143",2016,1,5,10,55,"FM-16",180,6.7,-4.4,-7.2,9999.9,2016-01-05,1
"144",2016,1,5,11,53,"FM-15",170,5.7,-4.4,-7.8,1026.6,2016-01-05,1
"145",2016,1,5,12,0,"FM-12",170,5.7,-4.4,-7.8,1026.6,2016-01-05,1
"146",2016,1,5,12,14,"FM-16",170,7.2,-5,-8.3,9999.9,2016-01-05,1
"147",2016,1,5,12,25,"FM-16",170,6.2,-5,-8.3,9999.9,2016-01-05,1
"148",2016,1,5,12,53,"FM-15",170,6.7,-5,-8.3,1026.1,2016-01-05,1
